ds,y
2000-12-01,28.44
2001-01-01,31.35
2001-02-01,33.98
2001-03-01,41.49
2001-04-01,53.08
2001-05-01,62.82
2001-06-01,69.24
2001-07-01,74.48
2001-08-01,74.30
2001-09-01,65.70
2001-10-01,54.37
2001-11-01,47.41
2001-12-01,36.12
2002-01-01,34.48
2002-02-01,36.39
2002-03-01,39.54
2002-04-01,53.49
2002-05-01,59.29
2002-06-01,70.86
2002-07-01,75.85
2002-08-01,72.86
2002-09-01,66.85
2002-10-01,51.84
2002-11-01,41.97
2002-12-01,35.08
2003-01-01,32.81
2003-02-01,32.79
2003-03-01,43.30
2003-04-01,51.89
2003-05-01,60.98
2003-06-01,68.05
2003-07-01,75.47
2003-08-01,74.66
2003-09-01,64.96
2003-10-01,56.55
2003-11-01,42.35
2003-12-01,35.29
2004-01-01,30.34
2004-02-01,33.57
2004-03-01,47.41
2004-04-01,52.68
2004-05-01,61.92
2004-06-01,68.09
2004-07-01,72.90
2004-08-01,70.16
2004-09-01,65.66
2004-10-01,55.36
2004-11-01,43.99
2004-12-01,35.06
2005-01-01,33.39
2005-02-01,37.94
2005-03-01,42.31
2005-04-01,52.27
2005-05-01,59.56
2005-06-01,69.21
2005-07-01,75.31
2005-08-01,73.20
2005-09-01,67.37
2005-10-01,55.38
2005-11-01,45.01
2005-12-01,32.70
2006-01-01,38.93
2006-02-01,34.83
2006-03-01,42.62
2006-04-01,55.26
2006-05-01,62.28
2006-06-01,70.75
2006-07-01,76.41
2006-08-01,73.40
2006-09-01,63.30
2006-10-01,52.59
2006-11-01,44.08
2006-12-01,36.57
2007-01-01,31.35
2007-02-01,32.41
2007-03-01,47.66
2007-04-01,50.54
2007-05-01,62.33
2007-06-01,69.87
2007-07-01,74.70
2007-08-01,74.64
2007-09-01,66.43
2007-10-01,56.68
2007-11-01,44.01
2007-12-01,33.22
2008-01-01,30.27
2008-02-01,34.70
2008-03-01,41.86
2008-04-01,50.40
2008-05-01,59.36
2008-06-01,69.60
2008-07-01,74.08
2008-08-01,72.28
2008-09-01,65.21
2008-10-01,53.98
2008-11-01,43.92
2008-12-01,31.87
2009-01-01,31.05
2009-02-01,36.77
2009-03-01,42.87
2009-04-01,50.92
2009-05-01,61.65
2009-06-01,68.54
2009-07-01,72.63
2009-08-01,71.89
2009-09-01,66.38
2009-10-01,50.50
2009-11-01,45.84
2009-12-01,29.64
2010-01-01,30.67
2010-02-01,31.80
2010-03-01,43.57
2010-04-01,53.24
2010-05-01,59.88
2010-06-01,70.48
2010-07-01,74.71
2010-08-01,74.05
2010-09-01,66.49
2010-10-01,56.14
2010-11-01,42.31
2010-12-01,32.47
2011-01-01,29.71
2011-02-01,33.04
2011-03-01,43.07
2011-04-01,51.96
2011-05-01,59.13
2011-06-01,69.82
2011-07-01,76.14
2011-08-01,75.00
2011-09-01,66.09
2011-10-01,55.09
2011-11-01,43.75
2011-12-01,35.40
2012-01-01,36.12
2012-02-01,37.51
2012-03-01,50.41
2012-04-01,54.68
2012-05-01,63.45
2012-06-01,70.54
2012-07-01,76.77
2012-08-01,73.80
2012-09-01,66.31
2012-10-01,53.89
2012-11-01,44.01
2012-12-01,35.92
2013-01-01,32.25
2013-02-01,34.77
2013-03-01,40.91
2013-04-01,49.68
2013-05-01,60.85
2013-06-01,70.39
2013-07-01,74.21
2013-08-01,72.99
2013-09-01,66.96
2013-10-01,53.44
2013-11-01,41.61
2013-12-01,31.06
2014-01-01,30.56
2014-02-01,32.13
2014-03-01,40.51
2014-04-01,51.69
2014-05-01,61.27
2014-06-01,69.58
2014-07-01,73.29
2014-08-01,72.25
2014-09-01,66.20
2014-10-01,56.93
2014-11-01,39.25
2014-12-01,36.81
2015-01-01,33.08
2015-02-01,32.99
2015-03-01,45.39
2015-04-01,53.24
2015-05-01,60.84
2015-06-01,71.37
2015-07-01,73.92
2015-08-01,72.95
2015-09-01,68.54
2015-10-01,57.24
2015-11-01,44.60
2015-12-01,38.66
2016-01-01,32.22
2016-02-01,39.47
2016-03-01,47.50
2016-04-01,53.19
2016-05-01,60.33
2016-06-01,71.76
2016-07-01,75.22
2016-08-01,73.53
2016-09-01,67.12
2016-10-01,57.72
2016-11-01,47.97
2016-12-01,32.95
2017-01-01,33.57
2017-02-01,41.18
2017-03-01,46.15
2017-04-01,53.80
2017-05-01,60.57
2017-06-01,70.36
2017-07-01,75.70
2017-08-01,72.01
2017-09-01,66.27
2017-10-01,55.69
2017-11-01,45.03
2017-12-01,34.29
2018-01-01,32.16
2018-02-01,35.51
2018-03-01,42.73
2018-04-01,49.03
2018-05-01,65.52
2018-06-01,71.55
2018-07-01,75.45
2018-08-01,73.51
2018-09-01,67.53
2018-10-01,53.71
2018-11-01,40.01
2018-12-01,35.51
2019-01-01,32.56
2019-02-01,31.84
2019-03-01,40.28
2019-04-01,52.84
2019-05-01,59.49
2019-06-01,68.72
2019-07-01,74.62
2019-08-01,73.74
2019-09-01,68.43
2019-10-01,52.05
2019-11-01,41.11
2019-12-01,36.43
2020-01-01,35.55
2020-02-01,36.18
2020-03-01,46.08
2020-04-01,50.86
2020-05-01,60.89
2020-06-01,70.29
2020-07-01,75.65
2020-08-01,74.71
2020-09-01,65.93
2020-10-01,54.30
2020-11-01,46.33
2020-12-01,35.73
2021-01-01,34.59
2021-02-01,30.58
2021-03-01,45.54
2021-04-01,51.85
2021-05-01,60.35
2021-06-01,72.63
2021-07-01,75.47
